Input File,Instruction References (I refs),User Time (s),System Time (s),CPU Usage (%),Elapsed Time (s),Max RSS (KB),Major Page Faults,Minor Page Faults,Voluntary Context Switches,Involuntary Context Switches,File System Inputs,File System Outputs
input0.txt,0,0.72,0.52,80.5,0.31,43408,1,9292,95,89,40,24
input1.txt,0,0.73,0.52,82.5,0.31,44864,0,9133,83,0,0,24
input2.txt,0,0.77,0.51,87.5,0.32,43408,0,9297,83,0,0,24
input3.txt,0,0.75,0.52,83.5,0.33,43476,0,10316,83,84,0,24
input4.txt,0,0.7,0.54,85.5,0.29,44864,0,9893,85,83,0,24
input5.txt,0,0.75,0.51,85.5,0.3,44864,0,9895,83,0,0,24
matrix_input_10.txt,0,0.74,0.53,83.5,0.33,44868,0,9920,85,2,0,24
matrix_input_100.txt,0,0.84,0.5,87.5,0.4,44800,0,9960,95,95,0,24
matrix_input_1000.txt,0,29.48,0.62,95.5,30.57,49632,0,12911,1044,4,0,24
matrix_input_120.txt,0,0.9,0.51,83.5,0.49,44800,0,9974,99,0,0,24
matrix_input_130.txt,0,0.93,0.54,85.5,0.55,44800,0,9992,102,0,0,24
matrix_input_150.txt,0,0.97,0.54,86.5,0.59,44800,0,9997,107,1,0,24
matrix_input_160.txt,0,1.05,0.51,86.5,0.66,44796,0,10029,110,0,0,24
matrix_input_180.txt,0,1.16,0.51,88.5,0.75,44868,0,9252,116,43,0,24
matrix_input_190.txt,0,1.2,0.54,87.5,0.85,44868,0,10040,119,0,0,24
matrix_input_210.txt,0,1.33,0.53,83.5,1.03,44800,0,9561,128,5,0,24
matrix_input_220.txt,0,1.35,0.54,89.5,1.0,44868,1,10615,141,40,24,24
matrix_input_240.txt,0,1.59,0.51,88.5,1.23,44796,1,9591,146,2,24,24
matrix_input_250.txt,0,1.6,0.52,89.5,1.25,44864,1,10648,157,6,32,24
matrix_input_270.txt,0,1.78,0.52,90.5,1.43,44796,1,10172,168,39,40,24
matrix_input_280.txt,0,1.84,0.52,90.5,1.52,44796,1,9660,169,2,24,24
matrix_input_30.txt,0,0.71,0.55,84.5,0.31,44864,0,10430,95,1,0,24
matrix_input_300.txt,0,2.07,0.52,92.5,1.73,44864,0,10206,177,74,0,24
matrix_input_310.txt,0,2.18,0.53,92.5,1.85,44868,1,10238,194,1,24,24
matrix_input_330.txt,0,2.36,0.55,91.5,2.09,44796,1,9760,195,4,16,24
matrix_input_340.txt,0,2.5,0.51,90.5,2.22,44868,0,10816,200,2,0,24
matrix_input_360.txt,0,2.8,0.51,92.5,2.51,44800,2,9828,218,0,24,24
matrix_input_370.txt,0,2.86,0.56,91.5,2.64,44864,1,10880,229,3,40,24
matrix_input_390.txt,0,3.18,0.54,90.5,3.01,44852,1,10915,240,3,24,24
matrix_input_40.txt,0,0.75,0.5,80.5,0.32,44800,0,9416,87,0,0,24
matrix_input_400.txt,0,3.41,0.53,92.5,3.17,44864,0,9650,245,1,0,24
matrix_input_420.txt,0,3.71,0.51,92.5,3.49,44868,0,10982,262,3,0,24
matrix_input_430.txt,0,3.87,0.52,93.5,3.64,44800,1,9992,268,1,16,24
matrix_input_450.txt,0,4.19,0.56,93.5,4.01,44864,0,11048,283,3,0,24
matrix_input_460.txt,0,4.4,0.56,92.5,4.26,44796,1,10569,297,1,40,24
matrix_input_480.txt,0,4.82,0.53,92.5,4.68,44800,1,10122,315,10,40,24
matrix_input_490.txt,0,5.42,0.52,94.5,5.22,44800,0,10156,316,154,0,24
matrix_input_510.txt,0,5.54,0.5,93.5,5.37,44800,1,10222,351,2,16,24
matrix_input_520.txt,0,5.76,0.53,94.5,5.6,44864,0,11278,347,91,0,24
matrix_input_540.txt,0,6.21,0.51,93.5,6.12,44868,1,11310,379,0,40,24
matrix_input_550.txt,0,6.54,0.53,94.5,6.43,44796,0,10322,375,193,0,24
matrix_input_570.txt,0,7.07,0.51,94.5,7.0,44800,1,10897,405,2,24,24
matrix_input_580.txt,0,7.36,0.51,94.5,7.29,44868,0,10967,408,1,0,24
matrix_input_60.txt,0,0.76,0.51,80.5,0.34,44868,0,10446,93,1,0,24
matrix_input_600.txt,0,7.91,0.51,94.5,7.86,44868,1,11271,446,86,40,24
matrix_input_610.txt,0,8.16,0.58,94.5,8.23,44800,1,10554,448,1,0,24
matrix_input_630.txt,0,9.09,0.55,94.5,9.12,44804,0,10622,472,8,0,24
matrix_input_640.txt,0,9.26,0.54,94.5,9.37,44796,0,10650,481,7,0,24
matrix_input_660.txt,0,9.93,0.59,94.5,10.11,44800,1,10718,514,16,0,24
matrix_input_670.txt,0,10.31,0.53,94.5,10.38,44796,1,10750,525,12,40,24
matrix_input_690.txt,0,11.4,0.6,95.5,11.46,44800,1,10854,556,1,40,24
matrix_input_70.txt,0,0.8,0.51,82.5,0.39,44800,1,9435,107,2,40,24
matrix_input_700.txt,0,11.42,0.53,94.5,11.6,44800,2,10884,564,7,16,24
matrix_input_720.txt,0,12.68,0.54,95.5,12.86,44864,0,11491,584,2,0,24
matrix_input_730.txt,0,12.86,0.59,95.5,13.04,44864,0,12039,595,25,0,24
matrix_input_750.txt,0,14.39,0.58,96.5,14.47,44868,0,12140,627,16,0,24
matrix_input_760.txt,0,14.76,0.56,95.5,15.05,45572,0,10360,635,11,0,24
matrix_input_780.txt,0,15.21,0.54,94.5,15.54,45020,0,11760,666,1,0,24
matrix_input_790.txt,0,15.74,0.54,95.5,15.99,45160,0,12306,686,1,0,24
matrix_input_810.txt,0,17.25,0.54,96.5,17.47,45552,0,12404,713,2,0,24
matrix_input_820.txt,0,18.17,0.55,96.5,18.37,46760,0,11172,726,8,0,24
matrix_input_840.txt,0,19.48,0.59,97.5,19.64,46096,0,12027,757,2,0,24
matrix_input_850.txt,0,19.43,0.58,96.5,19.75,44880,0,12744,779,4,0,24
matrix_input_870.txt,0,20.19,0.58,95.5,20.65,46220,0,11543,813,2,0,24
matrix_input_880.txt,0,21.0,0.56,95.5,21.48,46912,0,12232,827,81,0,24
matrix_input_90.txt,0,0.79,0.53,86.5,0.38,43476,0,11140,92,0,0,24
matrix_input_900.txt,0,22.15,0.61,95.5,22.72,45956,0,13524,864,14,0,24
matrix_input_910.txt,0,22.23,0.53,95.5,22.79,47532,0,12384,880,11,0,24
matrix_input_930.txt,0,24.15,0.57,96.5,24.67,46568,0,14190,917,20,0,24
matrix_input_940.txt,0,24.12,0.6,95.5,24.78,46844,1,13749,942,13,24,24
matrix_input_960.txt,0,26.31,0.54,96.5,26.84,47264,0,13854,967,20,0,24
matrix_input_970.txt,0,27.34,0.56,97.5,27.64,45468,0,13912,983,13,0,24
matrix_input_990.txt,0,27.72,0.57,97.5,28.05,44200,0,14624,1018,9,0,24
